Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Aknad1,47.398232067271216,9.13559635335696,1.6218242828423617,3.435568811530485e-9,7.18615802060033e-8,TRUE
Or2y13,30.429108422073305,9.129091109379335,1.79528750133541,1.1186057442941697e-7,1.4871898109699815e-6,TRUE
Gm47147,4900.583769488248,9.12809182587471,1.1417823020999989,4.447003248373825e-16,8.101115279271636e-14,TRUE
Pcdha10,9.454348569970223,9.127648656480774,4.353068286296348,9.545570335006755e-4,0.003581471218594559,TRUE
Bdh1,9.454348569970223,9.127648656480774,4.353068286296348,9.545570335006755e-4,0.003581471218594559,TRUE
A730046J19Rik,9.454348569970223,9.127648656480774,4.353068286296348,9.545570335006755e-4,0.003581471218594559,TRUE
Rtp3,64.46927288958537,9.126132204736535,1.2943734774195623,4.16937043188177e-13,2.8788830353041705e-11,TRUE
Rimbp3,32.338282551570046,9.125250186395995,1.7943883296882643,1.46170815591614e-7,1.8725903088709215e-6,TRUE
Dnah5,53.840773281955094,9.124632814786812,1.477278859081592,1.5982910435589043e-10,4.994367852172021e-9,TRUE
Disp2,44.407316171061986,9.12256152766206,1.4580159582777412,1.1108828943631129e-10,3.6723472361146617e-9,TRUE
Gm13135,39.94538773273543,9.11669775034549,1.8218257816309509,2.091279118683356e-7,2.5714023668023303e-6,TRUE
Or6c6c,327.54333696832794,9.10615241855077,0.8494928329102069,3.010490091096606e-27,1.104677835427249e-23,TRUE
Or8b41,101.20329422182841,9.103802305794389,1.0442650384370573,8.080420961798569e-19,2.9650527546394007e-16,TRUE
Hnf1a,39.89370283181948,9.101940968951068,1.885550233991091,4.515547529391339e-7,5.0363158419429405e-6,TRUE
Gm17825,11.165127192366299,9.101236801613204,3.6580344442488393,1.8441107720275224e-4,8.907075834956551e-4,TRUE
Mpp4,33.836680389429425,9.100977283442209,1.688080038825345,2.1220223021047477e-8,3.4984765630207026e-7,TRUE
Hs3st5,28.346646948195296,9.09617992543517,3.1134376301802735,8.037963110139605e-6,6.067091403086861e-5,TRUE
Abca17,12.02369917613739,9.095716298506792,3.7985253824012806,2.947352618868865e-4,0.0013219084925487283,TRUE
Gm48260,1421.7987531354836,9.0954029655272,1.439518582867107,7.340622589921387e-11,2.586436650819215e-9,TRUE
Gm47331,2805.4144518716366,9.09429310605357,1.2890191854567117,5.168028225600901e-13,3.4975867282714084e-11,TRUE
Shank1,273.09689944564263,9.093931722220102,0.8794348961018978,1.3870588103923485e-25,3.0364249651448043e-22,TRUE
Slc38a11,18.835761059729485,9.088090942051151,2.1862697012875576,7.228386692936059e-6,5.5672665845503935e-5,TRUE
Or2y1,16407.281129306197,9.086992229296744,1.3398036313868007,3.6970590687167234e-12,1.8804486978031237e-10,TRUE
Rac2,31.90487867244958,9.083276845014607,1.5235587067002283,1.0317136178456984e-9,2.528682823280974e-8,TRUE
Or1f19,297.93711343011324,9.081994571305124,1.2371958299889763,6.265333876416538e-14,5.788898055742273e-12,TRUE
Nanos3,8.91021123564682,9.081726507917042,4.0073925906158925,4.880375250535549e-4,0.0020313939180887394,TRUE
Mapk10,36.00496451362186,9.07987146719477,1.6433355520926705,1.1243995310903534e-8,2.0056476635824178e-7,TRUE
Ifit1bl2,66.06418231329964,9.079754274657494,1.1628227830703404,1.1496408931750341e-15,1.822819505067526e-13,TRUE
Tex13b,43.01523880940131,9.077134375239117,1.4181264046664754,4.3182306197676824e-11,1.6192419226182876e-9,TRUE
Prss35,197.5328097430569,9.075361278919411,0.86209911108884,1.5791472940657185e-26,4.5068863772635605e-23,TRUE
Gm9113,23.40895393445633,9.073522812629502,2.1080602015741543,3.235460376818132e-6,2.8013660391714313e-5,TRUE
Gabra2,30.48765773818698,9.073416010488732,1.8608144266211533,2.9841364989529777e-7,3.5016231206992317e-6,TRUE
Slc16a3,47.90555220766929,9.073158829051625,1.5321034050659847,1.269199175438418e-9,3.012999077662773e-8,TRUE
Spats1,268.49518849331344,9.072583378115228,1.2943620553092734,6.734013028487844e-13,4.435124580762532e-11,TRUE
Gm21962,235.87505012040717,9.06829288620537,1.117420086948853,1.2833214876214502e-16,2.7469496442537142e-14,TRUE
Gm2607,8.027324276698451,9.067114459684461,3.9583082107766763,4.457360175801289e-4,0.001871391851514088,TRUE
Oas2,26.563494819429025,9.06682688257296,2.0464470579721383,1.933341990528581e-6,1.7927733707118098e-5,TRUE
Kdm5d,617.7427539876252,9.066421971766383,1.0163706577093934,1.5636808446576648e-19,7.302673850159414e-17,TRUE
Cpa6,1324.7333006662525,9.063720883846546,1.136187082257283,4.789811042004001e-16,8.603572477266767e-14,TRUE
Vmn2r24,829.9292696408942,9.061942187688915,1.447534569932084,1.0467256506470861e-10,3.478162362551236e-9,TRUE
Cpne7,31.639032049956217,9.061285971483171,1.6013473085504277,5.51117024045958e-9,1.086415339957366e-7,TRUE
Ankrd63,46.30665364177009,9.061033544497343,1.5261742826897642,1.209672851524039e-9,2.8984754537543346e-8,TRUE
Gm6264,7.906116963333567,9.05943382366141,3.6658619092677283,1.909599044456871e-4,9.18194703405451e-4,TRUE
Lgi1,95.19746706881902,9.057710989664619,1.1899884957780467,8.881113284322603e-15,1.0760390368920301e-12,TRUE
Smyd1,50.6482696887315,9.055938658061857,1.455848434240044,7.636397318457644e-11,2.6775766421286683e-9,TRUE
Adprhl1,35.334768283249495,9.05547386476367,1.5898499892647218,4.4358214871055415e-9,8.92935036973299e-8,TRUE
Vmn1r201,608.2561768003128,9.054978812767175,1.3079405338555021,1.267080646813933e-12,7.551330277044706e-11,TRUE
Bmp8b,32.140858799297476,9.052842928588559,1.9552908400685745,1.0522174844650668e-6,1.0586470155099767e-5,TRUE
Vmn1r81,4155.529072837205,9.049401965478474,1.2397627774863909,8.832083132289988e-14,7.82278921848278e-12,TRUE
Gm48132,7951.919630894214,9.047720625286464,1.583276267018401,2.876357620673466e-9,6.151717056171411e-8,TRUE
Apol10a,18.337202613451005,9.04498769408063,2.1545820604391617,6.1074855036361565e-6,4.801863258230741e-5,TRUE
Nrxn1,53.20663525597734,9.044350127169357,1.3670941043925666,1.0030510212507144e-11,4.5681504489088385e-10,TRUE
Hspd1-ps4,11.285792666218944,9.037895776730656,3.5276329188431395,1.3166491679510143e-4,6.719541134112806e-4,TRUE
F830016B08Rik,550.5101653690796,9.035751696316243,1.370227599512526,1.2298910828353482e-11,5.456128213075778e-10,TRUE
